ID,References,Author,Climate,Name,Outlet Name,Yrs,Size(km2),L(km),RD(mm),QA,Rc,TSSC(mg/L),TSSL(g m-2 a-1),POCC ,DOCC ,PICC ,DICC ,TOCC (mg/L),POCL,DOCL,PICL,DICL,TOCL (g m-2 a-1),Total Rainfall,MAP,MAT,S,LAT,LONG,LU,Vc(%),RSCI(%),SOC(%),BD(g/cm3),CLAY(%),SILT(%),
295,49,Zhang et al. 2015,Humid subtropical,Beijiang River,Shijiao(2012),1,46710 ,468,1281 ,3390,0.61,,,4.11,2.73,,12.49,6.84,,,,,,2088.8,2088.8,20,0.85230352,23.03,112.46,Forest,,,,,,,
296,49,Zhang et al. 2015,Humid subtropical,Dongjiang River,Boluo(2012),1,27040 ,562,1033 ,886,0.590332015,,,4.2,2.45,,9.23,6.65,,,,,,1750.4,1750.4,20,1.76512456,23.17,114.29,Forest,70,75,,,,,
297,49,Zhang et al. 2015,Humid subtropical,Dongjiang River,Boluo(2012),1,27040 ,562,1070 ,1995,0.61,,,5.71,2.97,,5.91,8.68,,,,,,1750.4,1750.4,20,1.76512456,23.17,114.29,Forest,70,75,,,,,
298,50,Zhang et al. 2015,Humid subtropical,Weichenghe River,Liujia(1981),1,249 ,16,627 ,4.95,0.480398837,,440.161 ,,,,,,,,,,,1305,1305,16.5,,31.45,105.03,Agriculture,18.15,,0.75,1.37,21,35,
299,50,Zhang et al. 2015,Humid subtropical,Weichenghe River,Liujia(1983),1,249 ,16,579 ,4.57,0.469038293,,518.072 ,,,,,,,,,,,1234,1234,16.5,,31.45,105.03,Agriculture,18.15,,0.75,1.37,21,35,
300,50,Zhang et al. 2015,Humid subtropical,Weichenghe River,Liujia(1987),1,249 ,16,205 ,1.62,0.24166546,,148.594 ,,,,,,,,,,,849,849,16.5,,31.45,105.03,Agriculture,18.15,44.66774402,0.75,1.37,21,35,
301,49,Zhang et al. 2015,Humid subtropical,Xijiang River,Gaoyao(2012),1,353120 ,2214,360 ,4030,0.187382833,,,5.26,1.67,,22.69,6.93,1.893106652,0.601043367,,8.166271849,2.494150018,1920.7,1920.7,20,0.86038394,23.55,112.97,Forest,,,,,,,
302,49,Zhang et al. 2015,Humid subtropical,Xijiang River,Gaoyao(2012),1,353120 ,2214,827 ,9260,0.430562043,,,5.85,2.07,,16.72,7.92,4.83795,1.71189,,13.82711424,6.549685691,1920.7,1920.7,20,0.86038394,23.55,112.97,Forest,,,,,,,
303,51,Zhiyuan Liu. 2014,Semiarid,Yellow River,Lijin(2009),1,751900 ,5360,18 ,421,0.040130627,,,,,,,,0.41627876,0.060513366,0.800638383,0.691581327,0.476792127,440,440,10,0.87966418,37.62,118.32,Grassland,18.6037318,152.6161138,,,,,
304,51,Zhiyuan Liu. 2014,Semiarid,Yellow River,Lijin(2008-2012),4,751900 ,5360,42 ,1001.388889,0.091503268,,,,,,,,0.599813805,0.080994813,2.274238596,0.938954648,0.680808618,459,440,10,0.87966418,37.62,118.32,Grassland,,148.87,,,,,
305,52,Zhu et al. 2007,Humid subtropical,Longchuanjiang River,Huangguayuan(1960-2001),42,5560 ,231,216 ,38.08,0.26998446,6585,964.029 ,,,,,,,,,,,800,800,18.5,3.9047619,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
306,53,Zhu et al. 2008,Humid subtropical,Longchuanjiang River,Huangguayuan(2000),1,5560 ,231,261 ,46,0.293156576,,1762.590 ,,,,,,,,,,,890,890,17.2,7.4978355,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
307,53,Zhu et al. 2008,Humid subtropical,Longchuanjiang River,Huangguayuan(1980),1,5560 ,231,45 ,8,0.075625899,,359.712 ,,,,,,,,,,,600,600,17.2,7.4978355,25.82,101.86,Forest,,,1.83,1.215829568,20,38,
308,54,Zhu et al. 2012,Semi-arid continental,Haihe River,Haihezha(1965-2005),41,318000 ,1329,68 ,685.6925419,0.121428571,102.55,1.541 ,59.54957611,,19.8498587,,,0.057803468,,0.019267823,,0.057803468,560,560,9,1.72761475,38.99,117.72,Agriculture,,,,,,,
309,54,Zhu et al. 2012,Humid continental,Huaihe River,Bangbu(1965-2005),41,131600 ,1000,221 ,921.7402334,0.256838906,403.88,91.185 ,38.42786833,,31.36968843,,,1.117021277,,0.911854103,,1.117021277,860,860,15,1.123,33.14,118.01,Agriculture,,,,,,,
310,54,Zhu et al. 2012,Humid continental,Liaohe River,Liujianfang(1965-2005),41,136500 ,1200,22 ,96,0.040252568,1591.28,36.630 ,60.49639802,,120.992796,,,0.183150183,,0.366300366,,0.183150183,551,551,7,0.66,41.27,122.52,Agriculture,,,,,,,
311,54,Zhu et al. 2012,Humid subtropical,Minjiang River(Fujian),Zhuqi(1965-2005),41,54500 ,577,943 ,1630,0.551571222,114.38,128.440 ,69.60555453,,24.98660932,,,3.577981651,,1.28440367,,3.577981651,1710,1710,18,0.60311958,26.14,119.13,Forest,,,,,,,
312,54,Zhu et al. 2012,Humid subtropical,Pearl River,"Gaoyao, Shijiao & Boluo(1965-2005)",41,453700 ,2214,628 ,9035,0.40674169,266.27,167.512 ,9.862945689,,5.879089195,,,2.810227022,,1.675115715,,2.810227022,1544,1544,20,0.85094851,22.93,113.56,Forest,,16,,,,,
313,54,Zhu et al. 2012,Humid subtropical,Qiantang River,Hangzhou(1965-2005),41,23000 ,688,870 ,634.6714866,0.548341141,134.75,130.435 ,160.7490035,,65.16851492,,,3.217391304,,1.304347826,,3.217391304,1587,1587,15,0.28633721,30.28,120.26,Forest,,,1.45,1.244434839,,,
314,54,Zhu et al. 2012,Humid continental,Songhuajiang River,Jiamusi(1965-2005),41,528300 ,1956,124 ,2072,0.2346957,194.37,24.607 ,7.705568188,,3.76587919,,,0.503501798,,0.246072307,,0.503501798,527,527,3,0.3696319,46.85,130.38,Agriculture,,,,,,,
315,54,Zhu et al. 2012,Humid subtropical,Yangtze River,Datong(1965-2005),41,1705400 ,5756,530 ,28646,0.494600858,458.27,242.758 ,3.048114206,,2.687221639,,,2.753606192,,2.427582972,,2.753606192,1071,1071,14,0.92373176,30.72,117.47,Forest,,8.6,,,,,
316,54,Zhu et al. 2012,Semiarid,Yellow River,Lijin(1965-2005),41,751900 ,5360,42 ,993,0.089758955,24832.43,1034.124 ,168.521658,,578.2314449,,,5.277297513,,18.1074611,,5.277297513,464,464,10,0.83414179,37.62,118.36,Grassland,,,,,,,
