name,sex,count,year
Priscilla,F,650,2014
Kyra,F,649,2014
Hanna,F,648,2014
Maeve,F,648,2014
Juniper,F,643,2014
Charley,F,640,2014
Jamie,F,635,2014
Cynthia,F,634,2014
Phoenix,F,633,2014
Sylvia,F,633,2014
Karen,F,631,2014
Aleena,F,630,2014
Caitlin,F,628,2014
Rebekah,F,627,2014
Felicity,F,626,2014
Helena,F,624,2014
Imani,F,624,2014
Julissa,F,621,2014
Karla,F,620,2014
Elisa,F,619,2014
Evie,F,619,2014
Lilian,F,618,2014
Millie,F,618,2014
Raven,F,617,2014
Lillie,F,611,2014
Harlow,F,610,2014
Leia,F,610,2014
Amara,F,607,2014
Ryan,F,606,2014
Kailyn,F,604,2014
Cassandra,F,602,2014
Kadence,F,601,2014
Lauryn,F,598,2014
Hayley,F,596,2014
Kaylie,F,595,2014
Madalyn,F,595,2014
Henley,F,592,2014
Anika,F,590,2014
Bria,F,590,2014
Colette,F,590,2014
Amari,F,588,2014
Regina,F,588,2014
Jaliyah,F,587,2014
Adelina,F,586,2014
Alanna,F,586,2014
Anabella,F,585,2014
Fernanda,F,585,2014
Azalea,F,583,2014
Lilyana,F,583,2014
Skyla,F,583,2014
Zariah,F,583,2014
Addisyn,F,581,2014
Bridget,F,578,2014
Braylee,F,577,2014
Monica,F,577,2014
Selah,F,577,2014
Jayden,F,575,2014
Gloria,F,571,2014
Johanna,F,570,2014
Addilyn,F,569,2014
Leighton,F,568,2014
Kaia,F,567,2014
Kaliyah,F,565,2014
Kaylin,F,565,2014
Aryanna,F,564,2014
Danna,F,563,2014
Aniya,F,562,2014
Willa,F,562,2014
Charleigh,F,561,2014
Anne,F,559,2014
Tiana,F,559,2014
Angie,F,558,2014
Winter,F,558,2014
Alayah,F,553,2014
Danica,F,552,2014
Bailee,F,551,2014
Lexie,F,545,2014
Liberty,F,545,2014
Aisha,F,544,2014
Kenley,F,544,2014
Aileen,F,541,2014
Sasha,F,540,2014
Braelynn,F,539,2014
Janiyah,F,539,2014
Katelynn,F,539,2014
Mariam,F,538,2014
Cecelia,F,535,2014
Annika,F,534,2014
Lindsey,F,534,2014
Montserrat,F,534,2014
Kaelyn,F,533,2014
Mikaela,F,531,2014
Rosemary,F,531,2014
Tatiana,F,529,2014
Marie,F,528,2014
Cameron,F,525,2014
Dallas,F,523,2014
Virginia,F,523,2014
Liana,F,522,2014
Matilda,F,522,2014
Freya,F,516,2014
Lainey,F,514,2014
Hallie,F,510,2014
Jessie,F,507,2014
Audrina,F,502,2014
Kiera,F,502,2014
Blake,F,501,2014
Hattie,F,501,2014
Monserrat,F,498,2014
Melina,F,496,2014
Emilee,F,495,2014
Laylah,F,495,2014
Alyson,F,494,2014
Greta,F,494,2014
Maryam,F,494,2014
Beatrice,F,491,2014
Dayana,F,490,2014
Jaelynn,F,489,2014
Elisabeth,F,487,2014
Frances,F,484,2014
Kensley,F,480,2014
Saige,F,480,2014
Shiloh,F,479,2014
Elyse,F,477,2014
Mira,F,477,2014
Rosa,F,477,2014
Aranza,F,476,2014
Meredith,F,476,2014
Alani,F,474,2014
Charli,F,473,2014
Linda,F,471,2014
Lylah,F,469,2014
Alena,F,465,2014
Ansley,F,464,2014
Jaycee,F,463,2014
Joselyn,F,463,2014
Miah,F,463,2014
Whitney,F,463,2014
Edith,F,462,2014
Emelia,F,462,2014
Kynlee,F,460,2014
Breanna,F,459,2014
Tenley,F,458,2014
Maia,F,456,2014
Chanel,F,453,2014
Kimber,F,453,2014
Pearl,F,453,2014
Anahi,F,452,2014
Coraline,F,452,2014
Lilith,F,452,2014
Demi,F,451,2014
Samara,F,451,2014
Laney,F,449,2014
Malaya,F,449,2014
Jemma,F,448,2014
Myra,F,448,2014
Kaylynn,F,446,2014
Bryanna,F,444,2014
Jaelyn,F,444,2014
Lilianna,F,444,2014
Kallie,F,442,2014
Natasha,F,442,2014
Elianna,F,441,2014
Perla,F,441,2014
Amani,F,440,2014
Blair,F,439,2014
Nathalie,F,439,2014
Elaine,F,438,2014
Madalynn,F,437,2014
Maisie,F,437,2014
Erica,F,435,2014
Karsyn,F,435,2014
Renata,F,435,2014
Ellen,F,434,2014
Marina,F,434,2014
Remi,F,434,2014
Lindsay,F,433,2014
Kiley,F,432,2014
Dulce,F,431,2014
Emmy,F,431,2014
Irene,F,431,2014
Amelie,F,430,2014
Amirah,F,427,2014
Ivanna,F,427,2014
Livia,F,427,2014
Mabel,F,427,2014
Armani,F,425,2014
Milan,F,425,2014
Ciara,F,423,2014
Cara,F,421,2014
Kathleen,F,421,2014
Erika,F,420,2014
Jaylynn,F,420,2014
Caylee,F,419,2014
Alma,F,418,2014
Paola,F,418,2014
Courtney,F,417,2014
Chaya,F,416,2014
Lea,F,415,2014
Kassandra,F,414,2014
Maleah,F,414,2014
Mae,F,413,2014
Remington,F,413,2014
Karlee,F,412,2014
Christine,F,410,2014
Jasmin,F,410,2014
Leyla,F,410,2014
Mina,F,410,2014
Mara,F,409,2014
Ariah,F,408,2014
Kora,F,408,2014
Lailah,F,405,2014
Raquel,F,404,2014
Siena,F,404,2014
Hadassah,F,403,2014
Jaylee,F,403,2014
Lennon,F,403,2014
Kenya,F,402,2014
Wren,F,402,2014
Isis,F,401,2014
Desiree,F,400,2014
Aliana,F,398,2014
